"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Joe Biden","Nikki Haley","Gavin Newsom","Robert F. Kennedy Jr.","Ron DeSantis","Vivek Ramaswamy","Chris Christie","Elizabeth Warren","Bernie Sanders","AOC","Other Democrat Politician","Other Republican Politician","Kanye","Michelle Obama","Hillary Clinton"
"01-05-2024 00:00","1704412803","0.5","","0.5","0.5","0.5","0.5","","","","","","","","","","",""
"01-06-2024 00:00","1704499202","0.405","0.0315","0.365","0.085","0.05","0.029","0.024","0.025","","","","","","","","0.025","0.025"
"01-07-2024 00:00","1704585602","0.405","0.027","0.365","0.085","0.045","0.026","0.023","0.0195","0.0055","0.004","0.0055","0.0065","0.0065","0.0065","0.0075","0.0135","0.008"
"01-08-2024 00:00","1704672002","0.475","0.024","0.335","0.065","0.035","0.0305","0.019","0.017","0.0015","0.008","0.002","0.0105","0.0075","0.009","0.0075","0.009","0.0055"
"01-09-2024 00:00","1704758403","0.465","0.023","0.345","0.055","0.034","0.0305","0.0175","0.0175","0.0025","0.004","0.003","0.009","0.0105","0.0145","0.003","0.008","0.003"
"01-10-2024 00:00","1704844803","0.455","0.0175","0.345","0.045","0.031","0.022","0.0155","0.013","0.0005","0.004","0.0055","0.007","0.0095","0.011","0.0025","0.008","0.0025"
"01-11-2024 00:00","1704931203","0.465","0.0165","0.345","0.055","0.031","0.0255","0.009","0.017","0.0005","0.0035","0.005","0.005","0.011","0.0125","0.003","0.0075","0.0025"
"01-12-2024 00:00","1705017603","0.475","0.015","0.345","0.075","0.026","0.0225","0.0085","0.017","0.0005","0.003","0.0045","0.0045","0.012","0.0125","0.0025","0.009","0.0015"
"01-13-2024 00:00","1705104002","0.485","0.014","0.355","0.065","0.0235","0.025","0.0145","0.011","0.0005","0.0045","0.0045","0.0035","0.0105","0.012","0.0045","0.01","0.0035"
"01-14-2024 00:00","1705190402","0.485","0.0135","0.355","0.065","0.021","0.0235","0.014","0.018","0.0005","0.0015","0.0025","0.0025","0.0125","0.009","0.003","0.0085","0.0025"
"01-15-2024 00:00","1705276803","0.475","0.012","0.355","0.065","0.0215","0.0225","0.0075","0.0185","0.0005","0.0015","0.0015","0.0025","0.0125","0.0095","0.0025","0.0185","0.0025"
"01-16-2024 00:00","1705363202","0.475","0.012","0.355","0.055","0.0225","0.021","0.0075","0.0165","0.0005","0.0025","0.0015","0.0025","0.012","0.0095","0.0025","0.0215","0.0025"
"01-17-2024 00:00","1705449603","0.485","0.0145","0.355","0.045","0.0225","0.0215","0.0065","0.0005","0.0005","0.0025","0.0015","0.0025","0.0155","0.0095","0.0025","0.022","0.0025"
"01-18-2024 00:00","1705536002","0.485","0.0145","0.365","0.0345","0.023","0.0215","0.006","0.0005","0.0005","0.0025","0.0015","0.0025","0.014","0.0095","0.0015","0.022","0.0025"
"01-19-2024 00:00","1705622402","0.485","0.014","0.365","0.033","0.0235","0.0215","0.0055","0.0005","0.0005","0.0025","0.0015","0.0025","0.014","0.007","0.0015","0.0235","0.0025"
"01-20-2024 00:00","1705708803","0.485","0.016","0.365","0.028","0.033","0.0215","0.0055","0.0005","0.0005","0.0015","0.0015","0.0025","0.016","0.0075","0.0015","0.0235","0.0025"
"01-21-2024 00:00","1705795202","0.485","0.0165","0.365","0.027","0.0375","0.0215","0.0055","0.0005","0.0005","0.0025","0.0015","0.0025","0.0215","0.0075","0.0015","0.0235","0.0025"
"01-22-2024 00:00","1705881602","0.485","0.017","0.365","0.0255","0.0385","0.02","0.0025","0.0005","0.0005","0.0025","0.0015","0.0025","0.023","0.0075","0.0015","0.026","0.0025"
"01-23-2024 00:00","1705968003","0.545","0.012","0.38","0.013","0.0255","0.0165","0.0015","0.0005","0.0005","0.0015","0.0015","0.0015","0.015","0.0055","0.0015","0.0165","0.0015"
