"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Joe Biden","Nikki Haley","Gavin Newsom","Robert F. Kennedy Jr.","Ron DeSantis","Vivek Ramaswamy","Chris Christie","Elizabeth Warren","Bernie Sanders","AOC","Other Democrat Politician","Other Republican Politician","Kanye","Michelle Obama","Hillary Clinton"
"08-05-2024 22:00","1722895201","0.535","0.433","0.0005","0.0005","0.0015","0.008","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0045","0.0035","0.0005","0.02","0.0025"
"08-05-2024 23:00","1722898801","0.535","0.429","0.0005","0.0005","0.0015","0.008","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0045","0.0035","0.0005","0.02","0.0025"
"08-06-2024 00:00","1722902401","0.535","0.437","0.0005","0.0005","0.0015","0.0075","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0045","0.0035","0.0005","0.0195","0.0025"
"08-06-2024 01:00","1722906001","0.535","0.43","0.0005","0.0005","0.0015","0.0075","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0045","0.0035","0.0005","0.02","0.0025"
"08-06-2024 02:00","1722909601","0.535","0.4295","0.0005","0.0005","0.0015","0.0065","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0045","0.0035","0.0005","0.0195","0.003"
"08-06-2024 03:00","1722913202","0.535","0.4295","0.0005","0.0005","0.0015","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0045","0.0035","0.0005","0.0195","0.0025"
"08-06-2024 04:00","1722916801","0.535","0.43","0.0005","0.0005","0.0015","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0045","0.0035","0.0005","0.0195","0.0025"
"08-06-2024 05:00","1722920401","0.535","0.4305","0.0005","0.0005","0.0015","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0045","0.0045","0.0005","0.02","0.0025"
"08-06-2024 06:00","1722924002","0.535","0.435","0.0005","0.0005","0.0015","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0045","0.0045","0.0005","0.0195","0.0035"
"08-06-2024 07:00","1722927601","0.535","0.4365","0.0005","0.0005","0.0015","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0035","0.0005","0.0195","0.0035"
"08-06-2024 08:00","1722931201","0.535","0.4365","0.0005","0.0005","0.0015","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0035","0.0005","0.019","0.0035"
"08-06-2024 09:00","1722934802","0.525","0.445","0.0005","0.0005","0.0015","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0045","0.0035","0.0005","0.0175","0.0035"
"08-06-2024 10:00","1722938401","0.525","0.4505","0.0005","0.0005","0.0015","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0045","0.0035","0.0005","0.0135","0.0035"
